"","cruise","date_mdy","time_local","station","cast","niskin","depth","date_ymdThms","latitude","longitude","pressure","temperature","salinity","sigmatheta","oxygen_conc","n2o_id","run_date","run_id","d15Na","d15Nb","SP","d15Nbulk","d17O","d18O","n2o_conc","n2o_id_notsure","n2o_at_saturation","n2o_sat_percentage","no2_conc","d15N_no2","d18O_no2","no3_conc","d15N_no3","d18O_no3"
"138","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,4,1700,"2106-12-27T04:11:25",16.54064,-107.149,1717.751,2.6311,34.6052,27.5921,56.947,281,180808,"HoHoHo_281",20.67,-3.37,24.04,8.65,31,55.54,41.35,282,13.9724738442821,295.939004508649,0,NA,NA,43.15,5.835,3.021
"139","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,5,1500,"2106-12-27T04:11:25",16.54064,-107.149,1514.836,2.9905,34.5891,27.5478,44.422,283,180809,"HoHoHo_283",19.05,-2.04,21.09,8.5,30.88,55.31,44.37,284,13.7812258250109,321.959748453399,0,NA,NA,44.38,5.949,3.19
"140","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,6,1200,"2106-12-27T04:11:25",16.54064,-107.149,1210.357,3.8258,34.5574,27.4425,19.862,285,180809,"HoHoHo_285",18.4,-2.65,21.05,7.88,30.89,55.34,54.29,286,13.3501147856765,406.663170104338,0,NA,NA,45.8,6.316,3.57
"141","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,7,1000,"2106-12-27T04:11:25",16.54064,-107.149,1008.204,4.556,34.5387,27.3507,5.522,287,180809,"HoHoHo_287",16.93,-3.15,20.08,6.89,31.22,55.98,63.82,288,12.9878037656881,491.384079644037,0,NA,NA,45.6,6.973,4.623
"142","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,8,750,"2106-12-27T04:11:25",16.54064,-107.149,755.426,5.9776,34.5301,27.1756,0.251,289,180809,"HoHoHo_289",19.38,-6.22,25.6,6.58,36.34,66.23,56.86,290,12.3189040675665,461.567032977409,0,NA,NA,41.75,8.463,7.228
"143","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,9,500,"2106-12-27T04:11:25",16.54064,-107.149,503.236,8.3329,34.577,26.8832,0.131,291,180809,"HoHoHo_291",52,-4.52,56.52,23.74,61.39,116.99,4.74,292,11.3092123637323,41.9127331555005,0.35,-30.927,14.585,31.14,16.04,15.073
"144","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,10,300,"2106-12-27T04:11:25",16.54064,-107.149,301.446,11.2777,34.7234,26.5025,0.047,293,180809,"HoHoHo_293",35.16,-10.39,45.55,12.38,51.02,95.83,5.51,294,10.1998170749953,54.0205766386506,1.441,-16.526,15.417,24.92,19.292,17.603
"145","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,11,150,"2106-12-27T04:11:25",16.54064,-107.149,150.888,13.2537,34.8059,26.187,0.037,295,180809,"HoHoHo_295",33.26,-8.76,42.02,12.25,50.79,95.36,19.59,296,9.54190655020469,205.304882173466,1.51,-25.64,14.49,25.52,12.243,12.949
"146","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,12,140,"2106-12-27T04:11:25",16.54064,-107.149,139.35,13.5443,34.7843,26.1111,0.001,297,180809,"HoHoHo_297",31.26,-9.72,40.98,10.77,48.83,91.4,21.97,298,9.45210321282563,232.435041231763,1.311,-24.7,14.862,24.46,12.905,13.853
"147","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,13,130,"2106-12-27T04:11:25",16.54064,-107.149,130.599,13.6158,34.7851,26.0973,-0.033,299,180809,"HoHoHo_299",28.78,-8.48,37.26,10.15,47.52,88.74,25.64,300,9.42988445896333,271.901528715217,1.155,-24.865,14.707,24.37,12.633,13.364
"148","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,14,120,"2106-12-27T04:11:25",16.54064,-107.149,120.19,13.9938,34.7876,26.0206,-0.006,301,180809,"HoHoHo_301",21.07,-7.19,28.27,6.94,40.45,74.48,55.73,302,9.3137651408334,598.361663165293,0.342,-25.653,15.141,25.61,10.151,11.473
"149","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,15,110,"2106-12-27T04:11:25",16.54064,-107.149,110.506,14.6857,34.7567,25.8493,-0.044,303,180813,"HoHoHo_303",14.8,-6.09,20.9,4.36,34.18,61.9,103.44,304,9.10831359010902,1135.66577365461,0,NA,NA,27.7,9.839,10.994
"150","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,16,100,"2106-12-27T04:11:25",16.54064,-107.149,100.409,15.3723,34.732,25.6796,-0.052,305,180813,"HoHoHo_305",12.32,-5.5,17.82,3.41,31.75,57.04,125.4,306,8.910679369484,1407.30010362006,0,NA,NA,26.95,9.686,9.925
"151","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,17,90,"2106-12-27T04:11:25",16.54064,-107.149,90.509,16.0862,34.6895,25.4858,0.086,307,180813,"HoHoHo_307",11.33,-4.89,16.21,3.22,31.03,55.6,126.07,308,8.71261466300076,1446.98239135231,0,NA,NA,26.95,9.222,9.779
"152","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,18,80,"2106-12-27T04:11:25",16.54064,-107.149,81.136,16.9298,34.6548,25.2628,0.497,309,180813,"HoHoHo_309",10,-3.93,13.93,3.04,29.67,52.89,115.18,310,8.4861853225368,1357.26472640323,0,NA,NA,25.12,9.504,8.328
"153","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,19,70,"2106-12-27T04:11:25",16.54064,-107.149,70.201,19.1135,34.5698,24.6602,11.942,311,180813,"HoHoHo_311",8.55,-2.79,11.34,2.88,28.36,50.3,90.89,312,7.93912427193446,1144.83659515577,0,NA,NA,14.17,9.808,7.263
"154","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,20,60,"2106-12-27T04:11:25",16.54064,-107.149,59.894,21.6533,34.467,23.906,70.461,313,180813,"HoHoHo_313",9.37,-2.18,11.54,3.59,28,49.58,62.22,314,7.36743232566899,844.52760812228,0.844,1.58,12.867,4.47,12.169,8.643
"155","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,21,50,"2106-12-27T04:11:25",16.54064,-107.149,49.923,24.763,34.3258,22.9002,134.327,315,180813,"HoHoHo_315",9.08,-1.93,11,3.57,27.05,47.69,41.55,316,6.74995396692154,615.559753497841,0.61,0.115,11.595,0.22,13.379,10.447
"156","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,22,40,"2106-12-27T04:11:25",16.54064,-107.149,40.138,29.0138,33.6082,21.0117,197.659,317,180813,"HoHoHo_317",13.8,-2.8,16.6,5.5,25.92,45.44,10.83,318,6.04439213919329,179.174344592497,0,NA,NA,0.19,7.387,15.531
"157","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,23,20,"2106-12-27T04:11:25",16.54064,-107.149,19.914,29.0364,33.5555,20.9662,197.77,319,180813,"HoHoHo_319",15.11,-4.34,19.45,5.39,25.63,44.87,8.41,320,6.04243227422522,139.18236263688,0,NA,NA,0.54,3.901,23.368
"158","ETNP 2017 HoHoHoDZ (Nicole)","12/26/16","","8",11,24,0,"2106-12-27T04:11:25",16.54064,-107.149,2.537,29.022,33.5564,20.9731,197.508,321,180813,"HoHoHo_321",15.15,-3.11,18.26,6.02,25.57,44.75,8.26,322,6.04466307912134,136.649468992417,0,NA,NA,NA,NA,NA
"159","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,4,850,"2106-12-27T10:26:50",16.0004,-106.946,857.031,5.5618,34.535,27.2306,0.083,323,180813,"HoHoHo_323",19.38,-7.15,26.53,6.11,34.36,62.27,67.33,324,12.5092825489242,538.240300646103,0,NA,NA,43.29,7.946,5.77
"160","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,7,400,"2106-12-27T10:26:50",16.0004,-106.946,403.376,9.6992,34.6368,26.7114,-0.015,325,180813,"HoHoHo_325",27.23,-5.03,32.27,11.1,39.73,73.04,15.13,326,10.774599520721,140.422852570093,0.064,NA,NA,29.39,15.717,13.93
"161","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,12,150,"2106-12-27T10:26:50",16.0004,-106.946,150.543,12.8567,34.8164,26.2752,-0.051,327,180813,"HoHoHo_327",33.92,-6,39.93,13.96,48.56,90.86,18.65,328,9.6676246257213,192.911917063686,1.519,NA,NA,26.64,12.315,12.143
"162","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,14,120,"2106-12-27T10:26:50",16.0004,-106.946,120.929,13.6897,34.8018,26.0951,-0.02,329,180813,"HoHoHo_329",31.94,-12.62,44.56,9.66,49.74,93.24,18.37,330,9.40618941509324,195.296938955145,1.514,NA,NA,24.69,13.521,13.456
"163","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,16,110,"2106-12-27T10:26:50",16.0004,-106.946,110.491,14.1032,34.7942,26.0029,-0.054,331,180813,"HoHoHo_331",23.49,-9.53,33.01,6.98,41.98,77.55,47.16,332,9.28025289949132,508.17580631434,0.211,NA,NA,26.01,10.473,11.199
"164","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,18,100,"2106-12-27T10:26:50",16.0004,-106.946,100.595,14.7921,34.7707,25.8373,-0.05,333,180813,"HoHoHo_333",16.18,-8.57,24.75,3.8,34.71,62.97,93.28,334,9.07639473360024,1027.72083781993,0,NA,NA,26.29,9.982,10.197
"165","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,19,90,"2106-12-27T10:26:50",16.0004,-106.946,90.355,15.7241,34.7345,25.6029,0.055,335,180814,"HoHoHo_335",10.16,-5.07,15.23,2.54,30.39,54.32,121.91,336,8.8111450376413,1383.58861963115,0,NA,NA,27.17,9.401,8.42
"166","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,20,50,"2106-12-27T10:26:50",16.0004,-106.946,50.479,25.8102,34.0116,22.3432,168.865,337,180814,"HoHoHo_337",9.91,-1.4,11.32,4.25,26.13,45.86,17.54,338,6.56886502115537,267.017208353521,0.974,NA,NA,1.78,13.212,11.506
"167","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","9",12,21,45,"2106-12-27T10:26:50",16.0004,-106.946,45.037,26.5328,33.9852,22.0982,175.775,339,180815,"HoHoHo_339",9.18,-0.4,9.58,4.39,25.7,45.01,18.91,340,6.44226056996035,293.530505241833,0.956,NA,NA,2.41,12.09,10.583
"168","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,2,850,"2106-12-27T19:49:03",15.00226,-106.568,858.237,5.2781,34.5282,27.2599,1.179,341,180815,"HoHoHo_341",16.29,-3.75,20.04,6.27,31.74,57.02,69.61,342,12.6422961044138,550.612004536873,0.02,NA,NA,44.63,7.941,5.136
"169","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,5,400,"2106-12-27T19:49:03",15.00226,-106.568,403.241,9.93,34.6493,26.682,0.051,343,180815,"HoHoHo_343",31.91,-1.73,33.63,15.09,44.85,83.34,8.52,344,10.6877186527945,79.7176673225049,0.451,NA,NA,27.43,18.087,15.893
"170","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,8,250,"2106-12-27T19:49:03",15.00226,-106.568,251.708,11.9626,34.7784,26.4178,-0.051,345,180815,"HoHoHo_345",22.44,-1.71,24.15,10.37,38.22,69.99,29.65,346,9.96310715642993,297.597923363342,0.834,NA,NA,28.63,12.061,12.1
"171","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,10,150,"2106-12-27T19:49:03",15.00226,-106.568,151.446,13.215,34.8382,26.2199,0.934,347,NA,"",NA,NA,NA,NA,NA,NA,NA,348,9.55242925333339,NA,0.039,NA,NA,30.98,8.036,7.374
"172","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,13,120,"2106-12-27T19:49:03",15.00226,-106.568,120.919,13.7667,34.8174,26.0912,3.917,349,180815,"HoHoHo_349",10.57,-3.15,13.72,3.71,29.28,52.12,74.03,350,9.38168330851332,789.090801357814,0.003,NA,NA,29.21,8.344,7.608
"173","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,15,100,"2106-12-27T19:49:03",15.00226,-106.568,100.767,14.5555,34.8203,25.9268,1.738,351,180815,"HoHoHo_351",6.02,-1.1,7.12,2.46,25.41,44.42,112.85,352,9.14361116240946,1234.19508983432,0.02,NA,NA,31.76,7.108,5.155
"174","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,18,80,"2106-12-27T19:49:03",15.00226,-106.568,80.725,16.0188,34.738,25.5389,0.459,353,180815,"HoHoHo_353",8.29,-3.35,11.64,2.47,28.87,51.31,123.02,354,8.72895830367635,1409.33196975163,0.044,NA,NA,28.3,8.693,7.623
"175","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,19,65,"2106-12-27T19:49:03",15.00226,-106.568,65.738,20.4642,34.4697,24.231,43.861,355,180815,"HoHoHo_355",7.6,-2.05,9.66,2.78,28.02,49.62,82.82,356,7.62881323968481,1085.62101860317,1.132,NA,NA,17.99,11.258,9.659
"176","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,20,60,"2106-12-27T19:49:03",15.00226,-106.568,60.935,22.5547,34.2887,23.5179,85.118,357,180815,"HoHoHo_357",6.56,-0.52,7.08,3.02,26.51,46.62,45.21,358,7.18479814829428,629.245235104248,1.037,NA,NA,14.57,9.449,7.445
"177","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","10",13,21,55,"2106-12-27T19:49:03",15.00226,-106.568,54.844,25.2278,34.0969,22.5861,148.508,359,180815,"HoHoHo_359",7.91,-0.94,8.85,3.48,25.87,45.34,25.83,360,6.67161928497575,387.162379876325,1.241,NA,NA,6.55,11.18,8.763
"178","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,1,1500,"2106-12-28T04:38:21",14.00381,-106.207,1516.746,2.9627,34.5944,27.5546,47.218,361,180815,"HoHoHo_361",19.58,-2.38,21.96,8.6,30.78,55.11,43.58,362,13.7955595670626,315.898748348337,0.028,NA,NA,46.5,NA,NA
"179","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,4,850,"2106-12-28T04:38:21",14.00381,-106.207,857.167,5.2005,34.5442,27.2819,1.364,363,180815,"HoHoHo_363",16.81,-4.73,21.53,6.04,31.54,56.62,71.42,364,12.6777140246841,563.350773340854,0.028,NA,NA,48.06,NA,NA
"180","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,5,600,"2106-12-28T04:38:21",14.00381,-106.207,604.609,6.8205,34.5539,27.0842,0.064,365,180815,"HoHoHo_365",46.26,-7.54,53.8,19.36,56.78,107.57,14.48,366,11.9429849627308,121.242721523858,0.321,NA,NA,40.37,NA,NA
"181","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,6,465,"2106-12-28T04:38:21",14.00381,-106.207,466.388,8.2111,34.5648,26.8929,0.376,367,180815,"HoHoHo_367",20.56,-2.16,22.72,9.2,34.74,63.02,38.9,368,11.3591293425517,342.455824094538,0,NA,NA,36.55,NA,NA
"182","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,7,400,"2106-12-28T04:38:21",14.00381,-106.207,405.099,9.3681,34.6206,26.7539,0.074,369,180815,"HoHoHo_369",20.76,-1.52,22.28,9.62,35.87,65.28,36.85,370,10.9009005877886,338.045464255313,0.044,NA,NA,33.8,NA,NA
"183","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,8,350,"2106-12-28T04:38:21",14.00381,-106.207,352.978,10.4645,34.6869,26.6196,-0.003,371,180815,"HoHoHo_371",28.87,0.94,27.92,14.91,41.78,77.15,14.53,372,10.4898171887471,138.515283331982,0.744,NA,NA,28.77,NA,NA
"184","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,9,300,"2106-12-28T04:38:21",14.00381,-106.207,303.136,10.9648,34.7214,26.5582,-0.044,373,180815,"HoHoHo_373",26.24,0.7,25.54,13.47,40.96,75.51,18.84,374,10.3093357631203,182.746982277913,0.98,NA,NA,28.92,NA,NA
"185","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,10,250,"2106-12-28T04:38:21",14.00381,-106.207,251.935,11.5204,34.7507,26.4799,0.072,375,180816,"HoHoHo_375",14.5,-1.82,16.32,6.34,30.74,55.03,57.54,376,10.1145848950603,568.881477559212,0,NA,NA,32.64,NA,NA
"186","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,11,210,"2106-12-28T04:38:21",14.00381,-106.207,211.265,12.2491,34.7985,26.3793,0.067,377,180816,"HoHoHo_377",12.97,-1.78,14.75,5.59,30.26,54.07,68.48,378,9.86658953182023,694.059480017373,0.052,NA,NA,32.29,NA,NA
"187","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,12,180,"2106-12-28T04:38:21",14.00381,-106.207,181.373,12.6345,34.82,26.3213,0.822,379,180816,"HoHoHo_379",10.72,-1.53,12.26,4.6,28.07,49.71,80.84,380,9.73916562386951,830.050572318752,0.052,NA,NA,32.97,NA,NA
"188","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,13,150,"2106-12-28T04:38:21",14.00381,-106.207,150.75,13.0864,34.8369,26.2449,1.886,381,180816,"HoHoHo_381",8.72,-1.16,9.89,3.78,26.3,46.21,90.93,382,9.59320342692422,947.858561456087,0.052,NA,NA,33.08,NA,NA
"189","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,15,120,"2106-12-28T04:38:21",14.00381,-106.207,120.557,13.5325,34.8096,26.1337,-0.014,383,180816,"HoHoHo_383",18.11,-6.48,24.59,5.81,37.2,67.95,61.34,384,9.45447074380857,648.79358836844,0.125,NA,NA,28.86,NA,NA
"190","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,16,110,"2106-12-28T04:38:21",14.00381,-106.207,111.026,13.8498,34.8034,26.0633,-0.014,385,180816,"HoHoHo_385",16.86,-7.73,24.59,4.57,36.66,66.87,82.24,386,9.35690348338777,878.923247910045,0.039,NA,NA,28.06,NA,NA
"191","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,18,90,"2106-12-28T04:38:21",14.00381,-106.207,90.75,15.1023,34.7844,25.7802,0.327,387,180816,"HoHoHo_387",8.85,-3.62,12.48,2.61,28.73,51.03,119.3,388,8.98557362368618,1327.68374058527,0.028,NA,NA,30.16,NA,NA
"192","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,19,75,"2106-12-28T04:38:21",14.00381,-106.207,75.527,16.9893,34.6978,25.2819,0.724,389,180816,"HoHoHo_389",7.22,-2.96,10.17,2.13,27.47,48.52,114.9,390,8.46850295942777,1356.79234630348,0.06,NA,NA,29.11,NA,NA
"193","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,20,50,"2106-12-28T04:38:21",14.00381,-106.207,50.176,25.3585,34.1042,22.552,136.426,391,180816,"HoHoHo_391",8.56,-1.86,10.43,3.35,26.57,46.74,39.05,392,6.64744914890818,587.443380539644,0.712,NA,NA,6.51,NA,NA
"194","ETNP 2017 HoHoHoDZ (Nicole)","12/27/16","","11",14,21,45,"2106-12-28T04:38:21",14.00381,-106.207,45.832,27.2772,33.8319,21.7464,177.173,393,180816,"HoHoHo_393",9.44,-1.68,11.12,3.88,26.37,46.33,24.48,394,6.31982113510853,387.352734779251,0.134,NA,NA,0.22,NA,NA
"195","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,4,500,"2106-12-28T20:27:28",15.69824,-104.634,504.512,7.9183,34.5719,26.9421,-0.018,395,180821,"HoHoHo_395",46.59,-5.76,52.35,20.42,57.22,108.46,4.09,396,11.478040432334,35.6332600857401,0.395,NA,NA,34.41,NA,NA
"196","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,5,400,"2106-12-28T20:27:28",15.69824,-104.634,402.58,9.3341,34.6162,26.7561,-0.051,397,180821,"HoHoHo_397",41.7,-8.45,50.15,16.62,53.26,100.38,3.27,398,10.9141568115468,29.9610868385221,0.447,NA,NA,29.58,NA,NA
"197","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,7,300,"2106-12-28T20:27:28",15.69824,-104.634,301.548,10.7301,34.6903,26.5762,-0.066,399,180821,"HoHoHo_399",33.71,-12.83,46.54,10.44,48.74,91.21,3.93,400,10.3943035814636,37.8091708520854,0.965,NA,NA,25.56,NA,NA
"198","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,9,200,"2106-12-28T20:27:28",15.69824,-104.634,200.791,12.0829,34.7582,26.3804,-0.038,401,180821,"HoHoHo_401",33.43,-12.06,45.49,10.68,48.37,90.47,3.75,402,9.92397484047743,37.7872783867275,1.943,NA,NA,24.31,NA,NA
"199","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,10,180,"2106-12-28T20:27:28",15.69824,-104.634,180.857,12.3376,34.7672,26.3386,-0.031,403,180821,"HoHoHo_403",29.47,-14.33,43.81,7.57,46.27,86.21,3.87,404,9.83907018380992,39.3329850047014,2.64,NA,NA,23.77,NA,NA
"200","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,11,160,"2106-12-28T20:27:28",15.69824,-104.634,161.213,12.9688,34.7701,26.2166,-0.035,405,180822,"HoHoHo_405",25.88,-11.82,37.7,7.03,41.45,76.48,2.67,406,9.63415980333793,27.7138853257856,3.079,NA,NA,22.69,NA,NA
"201","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,12,150,"2106-12-28T20:27:28",15.69824,-104.634,150.943,13.2972,34.7625,26.1446,2.83e-18,407,180822,"HoHoHo_407",32.2,-11.61,43.81,10.29,45.24,84.14,2.6,408,9.53046792643033,27.280927023421,2.311,NA,NA,22.69,NA,NA
"202","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,13,142,"2106-12-28T20:27:28",15.69824,-104.634,142.963,13.6349,34.7486,26.0647,-0.041,409,180822,"HoHoHo_409",30.37,-4.59,34.96,12.89,47.19,88.08,8.43,410,9.42584095764017,89.4349908712072,1.014,NA,NA,23.68,NA,NA
"203","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,15,120,"2106-12-28T20:27:28",15.69824,-104.634,121.011,14.8334,34.653,25.7368,6.302,411,180822,"HoHoHo_411",12.14,1.31,10.83,6.72,30.44,54.43,55.33,412,9.07006217992913,610.028893985292,0,NA,NA,25.2,NA,NA
"204","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,16,100,"2106-12-28T20:27:28",15.69824,-104.634,101.057,16.4488,34.5941,25.3282,18.001,413,180822,"HoHoHo_413",10.69,-1.49,12.18,4.6,30.35,54.26,75.09,414,8.61789710861114,871.326253419398,0,NA,NA,24.25,NA,NA
"205","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,17,80,"2106-12-28T20:27:28",15.69824,-104.634,80.042,20.1006,34.4258,24.2934,110.069,415,180822,"HoHoHo_415",9.85,-0.68,10.53,4.59,28.25,50.08,43.33,416,7.71335374822638,561.753050804436,0.137,NA,NA,10.29,NA,NA
"206","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,20,65,"2106-12-28T20:27:28",15.69824,-104.634,65.778,24.7294,34.3983,22.9641,207.356,417,180822,"HoHoHo_417",10.75,-1.35,12.1,4.7,26.81,47.22,18.69,418,6.75375653611512,276.734879323187,0.004,NA,NA,0.14,NA,NA
"207","ETNP 2017 HoHoHoDZ (Nicole)","12/28/16","","12",15,21,60,"2106-12-28T20:27:28",15.69824,-104.634,60.571,26.2456,34.1827,22.336,179.481,419,180822,"HoHoHo_419",9.28,-0.96,10.24,4.16,26.62,46.82,24.29,420,6.48600196428332,374.498807335529,-0.044,NA,NA,0.25,NA,NA
